id,codeAndCountry,serieCode,country,serieName,year,indicator
674,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1972,NA
1396,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1973,NA
2118,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1974,NA
2840,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1975,NA
3562,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1976,NA
4284,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1977,NA
5006,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1978,NA
5728,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1979,NA
6450,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1980,NA
7172,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1981,NA
7894,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1982,NA
8616,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1983,NA
9338,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1984,NA
10060,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1985,NA
10782,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1986,NA
11504,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1987,NA
12226,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1988,0.0116
12948,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1989,NA
13670,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1990,NA
14392,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1991,NA
15114,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1992,NA
15836,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1993,NA
16558,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1994,NA
17280,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1995,0.0136
18002,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1996,NA
18724,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1997,NA
19446,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1998,NA
20168,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,1999,NA
20890,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2000,NA
21612,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2001,NA
22334,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2002,NA
23056,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2003,NA
23778,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2004,NA
24500,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2005,NA
25222,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2006,NA
25944,1.2 - Algeria - 3686,1.2,Algeria,1.2 - Eradicate extreme poverty and hunger,2007,NA
663,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1972,NA
1385,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1973,NA
2107,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1974,NA
2829,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1975,NA
3551,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1976,NA
4273,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1977,NA
4995,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1978,NA
5717,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1979,NA
6439,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1980,NA
7161,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1981,NA
7883,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1982,NA
8605,1.2 - Azerbaijan - 17056,1.2,Azerbaijan,1.2 - Eradicate extreme poverty and hunger,1983,NA
