"","X1","codeAndCountry","serieCode","country","serieName","year","indicator"
"674",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1972",NA
"1396",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1973",NA
"2118",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1974",NA
"2840",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1975",NA
"3562",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1976",NA
"4284",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1977",NA
"5006",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1978",NA
"5728",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1979",NA
"6450",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1980",NA
"7172",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1981",NA
"7894",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1982",NA
"8616",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1983",NA
"9338",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1984",NA
"10060",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1985",NA
"10782",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1986",NA
"11504",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1987",NA
"12226",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1988",0.0116
"12948",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1989",NA
"13670",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1990",NA
"14392",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1991",NA
"15114",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1992",NA
"15836",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1993",NA
"16558",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1994",NA
"17280",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1995",0.0136
"18002",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1996",NA
"18724",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1997",NA
"19446",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1998",NA
"20168",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","1999",NA
"20890",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2000",NA
"21612",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2001",NA
"22334",3686,"1.2 - Algeria - 3686","1.2","Algeria","1.2 - Eradicate extreme poverty and hunger","2002",NA
